place_name,food,address,dong,gu,lat,lng
수정빵,카페/디저트,서울특별시 용산구 효창원로12길 42,원효로2동,용산구,37.5332331589601,126.952588322766
따띠삼겹 면목점,한식,서울특별시 중랑구 용마산로 388,면목3.8동,중랑구,37.5862588370822,127.09534344848
달빛 그리고 연어육회,회,서울특별시 성북구 북악산로 913,돈암1동,성북구,37.5965594834138,127.022954666928
우마이 타코야끼,한식,서울특별시 성북구 북악산로 913,돈암1동,성북구,37.5965594834138,127.022954666928
피자헛 동덕여대본점,피자,서울특별시 성북구 화랑로 104,월곡2동,성북구,37.6033505659021,127.043330480665
김군네초밥가게,한식,서울특별시 강북구 도봉로98길 40,번1동,강북구,37.6410488401742,127.031820039048
맥주아비 장안사거리점,야식,서울특별시 동대문구 장한로24길 46,장안2동,동대문구,37.5699029959844,127.073278284
오라김분식,분식,서울특별시 동대문구 고산자로 417 (용두동),용신동,동대문구,37.5769435164375,127.037973215255
아는커피,카페/디저트,서울특별시 성동구 광나루로4길 8-1,성수2가3동,성동구,37.5495845815449,127.05374600324
플래드 카페,카페/디저트,서울특별시 성동구 서울숲2길 12-7,성수1가2동,성동구,37.5470895391629,127.039874103325
순두부랑 돈까스,한식,서울특별시 서대문구 통일로 348,홍제2동,서대문구,37.5812594760103,126.952833216748
구여사컵밥,한식,서울특별시 은평구 통일로 905,갈현1동,은평구,37.6237703310391,126.919602322714
은평소댕,한식,서울특별시 은평구 연서로3가길 13,역촌동,은평구,37.6035702994642,126.914655956589
홍능반점,중식,서울특별시 강북구 4.19로 36 (수유동),우이동,강북구,37.6474627291113,127.010340022472
구도로통닭 종각점,치킨,서울특별시 종로구 우정국로2길 16,종로1.2.3.4가동,종로구,37.5694482841057,126.983901472599
치골냉맥,치킨,서울특별시 중랑구 답십리로77길 11,면목4동,중랑구,37.5721271498692,127.081454758083
김사부의 곱창명가 성동점,한식,서울특별시 성동구 무학로6길 50,왕십리도선동,성동구,37.5645961982208,127.035023853624
수상한발효실 수국,한식,서울특별시 광진구 아차산로38길 17,자양3동,광진구,37.5377149438183,127.074857302072
진미함바식당,한식,서울특별시 광진구 아차산로 403-6,구의1동,광진구,37.537876883982,127.087403177727
김가네김밥 서울역KDB점,도시락,서울특별시 용산구 한강대로 372,남영동,용산구,37.5516794257654,126.972905059299
브라이틀링카페&와인라운지,카페/디저트,서울특별시 용산구 녹사평대로 132,이태원1동,용산구,37.5306658431999,126.991175512553
유원(원테이블 중식당),중식,서울특별시 용산구 후암로 32-3,후암동,용산구,37.548822762458,126.977861855496
한남동 강가네 빈대떡,한식,서울특별시 용산구 대사관로30길 7,한남동,용산구,37.5329001581896,127.00569746786
카페 인 더 포레스트,카페/디저트,서울특별시 서대문구 연희로 147,연희동,서대문구,37.570761900687,126.933709513598
