place_name,food,address,gu,lat,lng
"마가을고기(꽃,고기,야채)",한식,서울특별시 광진구 군자로 94-1,광진구,37.5515709914538,127.071310343468
와9이닭,한식,서울특별시 광진구 자양로13나길 34,광진구,37.5345804645914,127.079527038073
우럼마김밥,도시락,서울특별시 광진구 긴고랑로11길 8,광진구,37.5635862588934,127.081576753433
츠나토리,돈까스/일식,서울특별시 광진구 동일로24길 61,광진구,37.5431246031927,127.068530686368
잘차림도시락,한식,서울특별시 용산구 이태원로14길 60,용산구,37.5320242353194,126.991764122438
주은,한식,서울특별시 종로구 경희궁길 36,종로구,37.5729199136655,126.970063182815
성욱식당,중식,서울특별시 중구 다산로 274,중구,37.5674464828596,127.016527092399
주전,한식,서울특별시 중구 동호로7길 14,중구,37.5532054555858,127.010718554062
땡초육회,회,서울특별시 은평구 통일로71길 32,은평구,37.61228701457,126.927750110193
고래맥주창고 창동점,야식,서울특별시 도봉구 노해로63다길 41,도봉구,37.6546618526856,127.04565134639
홍대쌀국수(방학점),아시안/양식,서울특별시 도봉구 도봉로 684,도봉구,37.6653467423279,127.043589661213
데일리카페인,카페/디저트,서울특별시 성북구 보문로14길 39,성북구,37.5807776877095,127.024355004247
저스트라운지,한식,서울특별시 강북구 한천로139길 42,강북구,37.6388575866282,127.024948947089
비비큐 장안행운점,치킨,서울특별시 동대문구 장한로26나길 59,동대문구,37.5691301016185,127.071549167088
본도시락 중곡점,도시락,서울특별시 중랑구 면목로 231-1,중랑구,37.5737636952243,127.084434746707
언노운스튜디오,아시안/양식,서울특별시 용산구 이태원로4길 26,용산구,37.533397042363,126.975275961871
아워플래닛,아시안/양식,서울특별시 종로구 옥인길 71,종로구,37.581742474709,126.964920000066
월계단,한식,서울특별시 종로구 종로33길 3,종로구,37.5713154254256,127.00135565165
라사천마라탕 수유점,찜탕,서울특별시 강북구 도봉로77길 42,강북구,37.6342058133038,127.021194684504
사랑호프,치킨,서울특별시 강북구 한천로132길 50-1,강북구,37.6410535335679,127.030070981223
바이오푸드(주)광진지점,분식,서울특별시 광진구 긴고랑로 153,광진구,37.5587739537886,127.091986179067
율이네 주방,한식,서울특별시 은평구 역말로 52,은평구,37.6057697555028,126.916234407129
굴레방국수김밥,도시락,서울특별시 서대문구 신촌로37안길 6,서대문구,37.5579759551186,126.956597569922
빵쌤 DMC가재울점,카페/디저트,서울특별시 서대문구 거북골로 84,서대문구,37.5782296308468,126.918481311495
프랭크버거 홍제역점,패스트푸드,서울특별시 서대문구 통일로 434,서대문구,37.5879432491188,126.945566453516
떡참 떡볶이참잘하는집(도봉창동점),분식,서울특별시 도봉구 도봉로110길 46,도봉구,37.6460516576835,127.036153247335
멀키커피,카페/디저트,서울특별시 노원구 덕릉로118길 11,노원구,37.66763941044,127.079589458676
스시소리,돈까스/일식,서울특별시 노원구 중계로 202,노원구,37.6508298105986,127.077814748223
한량 in IJK20,아시안/양식,서울특별시 용산구 신흥로20길 17,용산구,37.5463903284438,126.984620696279
비셋프리,아시안/양식,서울특별시 용산구 신흥로 103-1,용산구,37.5448322999717,126.984462143487
두꺼비 포차,야식,서울특별시 중랑구 동일로163길 9,중랑구,37.611862664055,127.076791609002
짬뽕에빠지다,중식,서울특별시 광진구 능동로34길 27,광진구,37.5552556668064,127.081017990154
카페트레비,카페/디저트,서울특별시 광진구 군자로 63,광진구,37.549021892794,127.070551076644
사랑방 김밥,도시락,서울특별시 은평구 통일로67길 5,은평구,37.6109486743238,126.928619749292
은평푸드,한식,서울특별시 은평구 연서로28길 1-1,은평구,37.6184047493999,126.920769217948
해피 딜리버리,한식,서울특별시 은평구 연서로27길 16-12,은평구,37.6185788936152,126.918235206669
긴자료코 창동점,돈까스/일식,서울특별시 도봉구 해등로 139,도봉구,37.6558432098236,127.040236241264
본도시락 수락산역점,도시락,서울특별시 노원구 동일로 1701,노원구,37.6803078379984,127.054886397111
조이커피,카페/디저트,서울특별시 노원구 동일로242가길 31,노원구,37.6773585172988,127.055776467295
청년다방 광운대점,카페/디저트,서울특별시 노원구 광운로 44,노원구,37.6213540254339,127.059484847843
라사천마라탕 안암점,찜탕,서울특별시 성북구 고려대로28길 16,성북구,37.5855540150335,127.030625718323
탄탄숯불구이,한식,서울특별시 성북구 보문로13길 5,성북구,37.5801182147046,127.02177041582
