,date,sex,age_group,order_amt,order_cnt
314,202108,남,60대이상,229090032,8726
315,202108,여,20대,1456514824,65207
316,202108,여,30대,4301784361,178257
317,202108,여,40대,5865744151,234604
318,202108,여,50대,2305497030,92789
319,202108,여,60대이상,499595361,19352
320,202109,남,20대,770925157,35360
321,202109,남,30대,1911126854,81882
322,202109,남,40대,1958882439,77106
323,202109,남,50대,825409082,32961
324,202109,남,60대이상,192684316,7383
325,202109,여,20대,1269793172,56908
326,202109,여,30대,3686571935,153080
327,202109,여,40대,5082661460,205307
328,202109,여,50대,1969926043,80439
329,202109,여,60대이상,402360116,15803
330,202110,남,20대,809349791,37713
331,202110,남,30대,2029859201,87266
332,202110,남,40대,2116875565,83771
333,202110,남,50대,893093928,36037
334,202110,남,60대이상,209002296,8166
335,202110,여,20대,1326882737,60350
336,202110,여,30대,3923024084,163640
337,202110,여,40대,5568866560,225819
338,202110,여,50대,2146163030,88205
339,202110,여,60대이상,458492625,17954
340,202111,남,20대,701221156,34156
341,202111,남,30대,1860630480,84489
342,202111,남,40대,1978318902,82981
343,202111,남,50대,882102911,37017
344,202111,남,60대이상,212419377,8670
345,202111,여,20대,1188704830,56539
346,202111,여,30대,3712195225,162887
347,202111,여,40대,5324382886,226459
348,202111,여,50대,2081330394,90261
349,202111,여,60대이상,450719890,19191
350,202112,남,20대,843348832,38216
351,202112,남,30대,2265285657,96124
352,202112,남,40대,2405349110,94517
353,202112,남,50대,1084033939,42693
354,202112,남,60대이상,259895888,9953
355,202112,여,20대,1453219209,63918
356,202112,여,30대,4441772318,181692
357,202112,여,40대,6350250984,253164
358,202112,여,50대,2517052674,102097
359,202112,여,60대이상,566658363,22165
360,202201,남,20대,869520369,38040
361,202201,남,30대,2232556571,91359
362,202201,남,40대,2338018712,88917
363,202201,남,50대,982711467,37712
364,202201,남,60대이상,235476773,8771
365,202201,여,20대,1428207518,61155
366,202201,여,30대,4218564635,167325
367,202201,여,40대,6002407198,231535
368,202201,여,50대,2342503268,91960
369,202201,여,60대이상,526755257,19804
370,202202,남,20대,798538621,35371
371,202202,남,30대,2193957903,88127
372,202202,남,40대,2308413462,87551
373,202202,남,50대,982074270,37620
374,202202,남,60대이상,224360028,8391
375,202202,여,20대,1335993692,57757
376,202202,여,30대,4082275187,163451
377,202202,여,40대,5986261206,229529
378,202202,여,50대,2352059075,91787
379,202202,여,60대이상,518504984,19667
380,202203,남,20대,818203342,36445
381,202203,남,30대,2208970068,90630
382,202203,남,40대,2416222689,91064
383,202203,남,50대,1085804260,41370
384,202203,남,60대이상,252894721,9332
385,202203,여,20대,1362240191,59659
386,202203,여,30대,4253376874,169302
387,202203,여,40대,6357100521,242057
388,202203,여,50대,2628247777,101593
389,202203,여,60대이상,574727536,21604
390,202204,남,20대,717358886,31996
391,202204,남,30대,2000349801,80968
392,202204,남,40대,2084318201,79344
393,202204,남,50대,981564353,38021
394,202204,남,60대이상,224560084,8424
395,202204,여,20대,1212259275,52540
396,202204,여,30대,3720931658,148166
397,202204,여,40대,5548148478,212800
398,202204,여,50대,2383895829,93409
399,202204,여,60대이상,515433335,19374
400,202205,남,20대,681214847,30220
401,202205,남,30대,1921081106,76406
402,202205,남,40대,2025895614,75071
403,202205,남,50대,941245120,36348
404,202205,남,60대이상,227712491,8413
405,202205,여,20대,1167939388,50006
406,202205,여,30대,3611169347,140934
407,202205,여,40대,5254295463,198355
408,202205,여,50대,2304109769,88987
409,202205,여,60대이상,511454173,18757
410,202206,남,20대,670455677,29340
411,202206,남,30대,1832553662,72881
412,202206,남,40대,1983205013,73754
413,202206,남,50대,956417912,36643
414,202206,남,60대이상,225897945,8324
415,202206,여,20대,1137447533,48327
416,202206,여,30대,3479211785,135965
417,202206,여,40대,5193070998,196860
418,202206,여,50대,2295569843,89058
419,202206,여,60대이상,500156648,18429
420,202207,남,20대,726079486,30986
421,202207,남,30대,1984511692,78388
422,202207,남,40대,2176934729,79391
423,202207,남,50대,1063111098,39500
424,202207,남,60대이상,260235023,9339
425,202207,여,20대,1243819336,51830
426,202207,여,30대,3812427545,145956
427,202207,여,40대,5957268632,220378
428,202207,여,50대,2609890032,98523
429,202207,여,60대이상,562290704,20330
430,202208,남,20대,700438865,29828
