,gu,address,food,name,rating,lat,lng
6827,강서구,서울 강서구 마곡서1로 115-1 마곡헤리움 1층 118호,분식,우리할매떡볶이 신방화역점,4.54,37.5667077205368,126.818571159801
6828,영등포구,서울 영등포구 당산로48길 2,분식,당산김밥떡볶이,4.22,37.5340877217089,126.902573101994
6829,영등포구,서울 영등포구 경인로 803-3,카페/디저트,미아리호떡,4.19,37.5151178395034,126.902348355011
6830,영등포구,서울 영등포구 양평로 36 삼원빌딩,아시안/양식,이삭토스트 당산역점,4.47,37.5338214668231,126.902671201859
6831,금천구,서울 금천구 벚꽃로 298 B131호,분식,꼭그김밥 가산점,4.52,37.4814401689835,126.883871693415
6832,영등포구,서울 영등포구 선유로 63 107호,분식,리김밥 문래점,4.43,37.5196525574619,126.889049579249
6833,구로구,서울 구로구 디지털로 243,분식,청년다방 구로지하이시티점,4.45,37.4819921356854,126.892348937684
6834,영등포구,서울 영등포구 당산로 132,분식,까치네김밥 영등포구청점,4.36,37.5262984376337,126.897005507687
6835,영등포구,서울 영등포구 선유서로 67 신동아하이팰리스,분식,진이네떡볶이 양평점,4.43,37.5220933827385,126.884455098241
6836,구로구,서울 구로구 공원로 41,분식,도라무통즉석떡볶이 구로신도림점,4.46,37.50036882384,126.889924711112
6837,강서구,서울 강서구 강서로 47,아시안/양식,이삭토스트 까치산역점,4.69,37.5319605060512,126.846339260429
6838,강서구,서울 강서구 양천로 500 노블리움오피스텔109호,분식,정씨네김밥인,4.45,37.5605371784027,126.855531211014
6839,구로구,서울 구로구 도림천로 338,분식,동대문엽기떡볶이 구로점,4.46,37.4948060470999,126.893801515234
6840,강서구,서울 강서구 허준로 23 한강아파트 제상가동 104호,분식,감탄떡볶이 가양2호점,4.32,37.5712114625604,126.843591958573
6841,양천구,서울 양천구 오목로 324,한식,까치네한식분식,4.23,37.5245340786731,126.873270808124
6842,강서구,서울 강서구 공항대로 635 동원빌딩,분식,김가네김밥 염창점,4.13,37.5472626732763,126.875270707574
6843,구로구,서울 구로구 새말로 102 1층 132호,분식,바르다김선생 신도림포스빌점,4.43,37.5057800099527,126.891405479352
6844,양천구,서울 양천구 목동중앙북로 16,분식,할아버지떡볶이,4.19,37.5483147206199,126.865302393826
6845,금천구,서울 금천구 가산디지털1로 181 1층 113호,분식,바르다김선생 가산디지털단지역점,4.41,37.4814249861909,126.880393604209
6846,강서구,서울 강서구 공항대로41길 66 세신등촌종합상가 125호,아시안/양식,이삭토스트 등촌2호점,4.69,37.5606317523438,126.846579308762
6847,강서구,서울 강서구 공항대로 124 단지상가,분식,김가네김밥 마곡점,4.25,37.5594617880425,126.820728611421
6848,구로구,서울 구로구 경인로47길 101,분식,신전떡볶이 고척돔점,4.41,37.5031724827997,126.863741291658
6849,강서구,서울 강서구 양천로 564 1층(110호),분식,김가네김밥 증미역점,4.13,37.5570868295233,126.861331339109
6850,양천구,서울 양천구 오목로 315,분식,토마토김밥 오목교역점,4.32,37.5251280616896,126.872723963322
6851,구로구,서울 구로구 구일로10길 27 B동 109호,분식,감탄떡볶이 구일점,4.38,37.4959404465654,126.872266560677
6852,구로구,서울 구로구 천왕로 36 천왕센타프라자 106,분식,고봉민김밥인 구로천왕점,4.38,37.4808996260751,126.83937984931
6853,양천구,서울 양천구 목동중앙북로7길 12,분식,토마토김밥 등촌2호점,4.31,37.5484826660983,126.867451618016
6854,마포구,서울 마포구 월드컵북로 402 KGIT 1층 112호,분식,동대문엽기떡볶이 상암DMC점,4.52,37.580107752042,126.888982346416
6855,강서구,서울 강서구 화곡로 163,분식,죠스떡볶이 화곡역점,4.32,37.541753080164,126.839674621599
6856,구로구,서울 구로구 새말로8길 3,분식,동대문엽기떡볶이 신도림점,4.4,37.5025865612813,126.884639538167
6857,강서구,서울 강서구 강서로17길 68,분식,빨호떡볶이 화곡점,4.46,37.5326297687077,126.84210400859
6858,관악구,서울 관악구 조원로 12,분식,기사님분식,3.77,37.4833200887549,126.903676427427
6859,양천구,서울 양천구 남부순환로83길 47,분식,오마뎅 신정뉴타운점,4.51,37.5188460168384,126.844576857258
6860,구로구,서울 구로구 신도림로 16 대림2차 상가 102호,분식,바름김밥,4.71,37.5051228166042,126.88219103785
6861,강남구,서울 강남구 테헤란로 129 지하1층 남도분식,분식,남도분식 강남N타워점,4.38,37.4999326440603,127.032367803374
6862,강남구,서울 강남구 남부순환로359길 19,분식,국미당,4.37,37.4861494496599,127.036221796355
6863,마포구,서울 마포구 굴레방로9길 41 1층,분식,마포분식,4.77,37.5566765695453,126.953374754098
6864,동작구,서울 동작구 여의대방로24나길 2 소화약국,분식,삐삐네분식,3.91,37.4984234794063,126.921025077434
6865,영등포구,서울 영등포구 영중로 145 영등포삼환아파트,분식,김가네김밥 당산점,4.34,37.5299598453919,126.905079994793
6866,성북구,서울 성북구 정릉로 388,분식,김가네김밥 길음역점,4.31,37.6024693446287,127.025621806395
6867,마포구,서울 마포구 월드컵북로30길 8,분식,냠냠분식,4.25,37.5683493517451,126.908209076542
6868,영등포구,서울 영등포구 여의공원로 101 C.C.M.M빌딩,분식,가야종합분식,4.21,37.5292719570904,126.924892738645
6869,마포구,서울 마포구 동교로18길 37,야식,남북통일,4.49,37.5538100269042,126.917953606915
6870,마포구,서울 마포구 홍익로6길 38 동교동1층,분식,홍대조폭떡볶이 홍대2호점,4.22,37.5558621607666,126.923766574558
